N,precission,numberOfIterations,distance
825,0.001,53,7.926920589513039E-5
825,1.0E-5,74,6.58448958849974E-7
825,1.0000000000000001E-7,105,6.7331093192315E-9
825,1.0E-9,113,6.464939573283468E-11
835,0.001,53,7.987114179739796E-5
835,1.0E-5,72,8.11676109400507E-7
835,1.0000000000000001E-7,106,6.28225952195841E-9
835,1.0E-9,131,5.899689324981075E-11
845,0.001,53,8.55006544442679E-5
845,1.0E-5,81,5.738791180342608E-7
845,1.0000000000000001E-7,99,6.7459409467367955E-9
845,1.0E-9,120,6.234830805043292E-11
855,0.001,54,8.088914972807204E-5
855,1.0E-5,75,6.555055498436429E-7
855,1.0000000000000001E-7,100,6.090339301380998E-9
855,1.0E-9,128,6.485098664496233E-11
865,0.001,53,8.291803162258334E-5
865,1.0E-5,72,8.643530169957674E-7
865,1.0000000000000001E-7,102,6.120691384322799E-9
865,1.0E-9,122,5.7858282232159824E-11
875,0.001,55,6.892224308496961E-5
875,1.0E-5,83,5.703187651529394E-7
875,1.0000000000000001E-7,105,6.078502742380909E-9
875,1.0E-9,122,6.304483481209902E-11
885,0.001,55,7.519332178417592E-5
885,1.0E-5,82,6.646655865781844E-7
885,1.0000000000000001E-7,93,7.043210280113547E-9
885,1.0E-9,132,6.0903979047418E-11
895,0.001,53,8.304597301675182E-5
895,1.0E-5,81,6.81668423465603E-7
895,1.0000000000000001E-7,91,8.513755170804363E-9
895,1.0E-9,131,6.129766713100273E-11
905,0.001,53,8.593397641908733E-5
905,1.0E-5,72,8.446372776632893E-7
905,1.0000000000000001E-7,108,5.698046565393891E-9
905,1.0E-9,131,6.68403451483171E-11
915,0.001,54,7.680218825615456E-5
915,1.0E-5,73,7.274885128054668E-7
915,1.0000000000000001E-7,106,6.073789731419341E-9
915,1.0E-9,123,6.398205715017296E-11
925,0.001,55,7.200007112281645E-5
925,1.0E-5,72,8.53070546187992E-7
925,1.0000000000000001E-7,106,6.043218433033057E-9
925,1.0E-9,125,6.000693532880402E-11
935,0.001,54,7.48611171775468E-5
935,1.0E-5,73,7.665455233962086E-7
935,1.0000000000000001E-7,100,5.773650261982668E-9
935,1.0E-9,119,6.811356837670975E-11
945,0.001,53,8.49311562704979E-5
945,1.0E-5,82,6.33905336744783E-7
945,1.0000000000000001E-7,96,6.868726830128456E-9
945,1.0E-9,130,6.380513414313944E-11
955,0.001,54,7.58939600873457E-5
955,1.0E-5,79,5.834794547363478E-7
955,1.0000000000000001E-7,101,6.200168500895497E-9
955,1.0E-9,130,6.618322360511734E-11
