#N,type,distance,time
446,FLOAT,0.0,443
444,FLOAT,0.0,646
447,FLOAT,0.0,504
442,FLOAT,0.0,717
448,FLOAT,0.0,1489
449,FLOAT,0.0,1135
450,FLOAT,0.0,756
453,FLOAT,0.0,981
454,FLOAT,0.0,513
455,FLOAT,0.0,639
452,FLOAT,0.0,811
456,FLOAT,0.0,761
451,FLOAT,0.0,1123
457,FLOAT,0.0,880
458,FLOAT,0.0,452
461,FLOAT,0.0,789
460,FLOAT,0.0,822
462,FLOAT,0.0,692
463,FLOAT,0.0,627
459,FLOAT,0.0,426
465,FLOAT,0.0,1158
467,FLOAT,0.0,550
466,FLOAT,0.0,603
469,FLOAT,0.0,907
470,FLOAT,0.0,732
471,FLOAT,0.0,760
468,FLOAT,0.0,805
464,FLOAT,0.0,917
472,FLOAT,0.0,669
473,FLOAT,0.0,977
477,FLOAT,0.0,975
474,FLOAT,0.0,696
478,FLOAT,0.0,750
479,FLOAT,0.0,892
476,FLOAT,0.0,1196
481,FLOAT,0.0,1221
480,FLOAT,0.0,1484
482,FLOAT,0.0,636
475,FLOAT,0.0,1029
484,FLOAT,0.0,866
485,FLOAT,0.0,1151
486,FLOAT,0.0,571
487,FLOAT,0.0,771
488,FLOAT,0.0,1143
489,FLOAT,0.0,960
483,FLOAT,0.0,523
490,FLOAT,0.0,494
495,FLOAT,0.0,959
492,FLOAT,0.0,2027
493,FLOAT,0.0,1736
494,FLOAT,0.0,816
497,FLOAT,0.0,1363
496,FLOAT,0.0,1477
498,FLOAT,0.0,548
491,FLOAT,0.0,624
501,FLOAT,0.0,1608
499,FLOAT,0.0,972
502,FLOAT,0.0,610
504,FLOAT,0.0,1347
503,FLOAT,0.0,646
505,FLOAT,0.0,818
500,FLOAT,0.0,1000
507,FLOAT,0.0,1599
506,FLOAT,0.0,1575
509,FLOAT,0.0,1262
511,FLOAT,0.0,857
508,FLOAT,0.0,1291
512,FLOAT,0.0,1082
513,FLOAT,0.0,1640
514,FLOAT,0.0,745
510,FLOAT,0.0,1263
517,FLOAT,0.0,1300
516,FLOAT,0.0,1880
518,FLOAT,0.0,909
515,FLOAT,0.0,910
519,FLOAT,0.0,753
522,FLOAT,0.0,842
521,FLOAT,0.0,1228
520,FLOAT,0.0,2384
525,FLOAT,0.0,1583
524,FLOAT,0.0,1221
527,FLOAT,0.0,691
526,FLOAT,0.0,677
523,FLOAT,0.0,1208
531,FLOAT,0.0,895
530,FLOAT,0.0,933
528,FLOAT,0.0,2109
532,FLOAT,0.0,1098
529,FLOAT,0.0,1065
533,FLOAT,0.0,1644
534,FLOAT,0.0,1200
536,FLOAT,0.0,1281
539,FLOAT,0.0,689
538,FLOAT,0.0,940
535,FLOAT,0.0,1464
540,FLOAT,0.0,1493
541,FLOAT,0.0,1842
537,FLOAT,0.0,2215
542,FLOAT,0.0,1260
545,FLOAT,0.0,1615
543,FLOAT,0.0,991
544,FLOAT,0.0,1658
547,FLOAT,0.0,1078
546,FLOAT,0.0,1090
550,FLOAT,0.0,829
548,FLOAT,0.0,1556
551,FLOAT,0.0,1150
549,FLOAT,0.0,1874
554,FLOAT,0.0,1167
553,FLOAT,0.0,1975
555,FLOAT,0.0,703
557,FLOAT,0.0,1499
552,FLOAT,0.0,2211
558,FLOAT,0.0,1102
559,FLOAT,0.0,1020
560,FLOAT,0.0,2125
562,FLOAT,0.0,947
563,FLOAT,0.0,917
556,FLOAT,0.0,1602
561,FLOAT,0.0,1300
565,FLOAT,0.0,1442
564,FLOAT,0.0,1893
566,FLOAT,0.0,1568
569,FLOAT,0.0,2556
567,FLOAT,0.0,1495
570,FLOAT,0.0,918
571,FLOAT,0.0,832
568,FLOAT,0.0,1952
575,FLOAT,0.0,1626
572,FLOAT,0.0,2776
574,FLOAT,0.0,2182
573,FLOAT,0.0,1975
576,FLOAT,0.0,1777
577,FLOAT,0.0,1888
579,FLOAT,0.0,1150
581,FLOAT,0.0,1742
582,FLOAT,0.0,1305
583,FLOAT,0.0,979
578,FLOAT,0.0,1722
585,FLOAT,0.0,3705
580,FLOAT,0.0,1944
586,FLOAT,0.0,873
584,FLOAT,0.0,2263
588,FLOAT,0.0,1982
587,FLOAT,0.0,1002
591,FLOAT,0.0,1644
590,FLOAT,0.0,1668
589,FLOAT,0.0,2678
592,FLOAT,0.0,1590
595,FLOAT,0.0,1539
597,FLOAT,0.0,1860
594,FLOAT,0.0,1132
593,FLOAT,0.0,3904
596,FLOAT,0.0,1602
599,FLOAT,0.0,1549
598,FLOAT,0.0,1659
600,FLOAT,0.0,2213
603,FLOAT,0.0,1078
601,FLOAT,0.0,2193
604,FLOAT,0.0,2814
605,FLOAT,0.0,1986
606,FLOAT,0.0,1845
608,FLOAT,0.0,2209
609,FLOAT,0.0,2021
602,FLOAT,0.0,3943
610,FLOAT,0.0,1321
611,FLOAT,0.0,1099
612,FLOAT,0.0,2149
607,FLOAT,0.0,1809
613,FLOAT,0.0,2162
614,FLOAT,0.0,1732
617,FLOAT,0.0,1921
615,FLOAT,0.0,1719
616,FLOAT,0.0,1894
619,FLOAT,0.0,1276
620,FLOAT,0.0,2822
622,FLOAT,0.0,1895
623,FLOAT,0.0,1304
618,FLOAT,0.0,957
621,FLOAT,0.0,2075
625,FLOAT,0.0,2878
624,FLOAT,0.0,3085
626,FLOAT,0.0,1563
629,FLOAT,0.0,2320
630,FLOAT,0.0,1347
627,FLOAT,0.0,3180
628,FLOAT,0.0,2448
632,FLOAT,0.0,3690
633,FLOAT,0.0,2522
635,FLOAT,0.0,1304
631,FLOAT,0.0,2303
636,FLOAT,0.0,2114
634,FLOAT,0.0,1454
637,FLOAT,0.0,3597
638,FLOAT,0.0,1779
640,FLOAT,0.0,2675
642,FLOAT,0.0,1744
639,FLOAT,0.0,2087
643,FLOAT,0.0,1232
641,FLOAT,0.0,2863
644,FLOAT,0.0,3358
645,FLOAT,0.0,3190
647,FLOAT,0.0,1921
649,FLOAT,0.0,3188
646,FLOAT,0.0,1739
650,FLOAT,0.0,1659
651,FLOAT,0.0,970
648,FLOAT,0.0,2913
652,FLOAT,0.0,2111
654,FLOAT,0.0,3148
655,FLOAT,0.0,2389
657,FLOAT,0.0,2613
653,FLOAT,0.0,2557
