#N,type,distance,time
452,DOUBLE,0.0,21
453,DOUBLE,0.0,24
448,DOUBLE,0.0,20
456,DOUBLE,0.0,33
455,DOUBLE,0.0,19
458,DOUBLE,0.0,24
457,DOUBLE,0.0,23
460,DOUBLE,0.0,24
459,DOUBLE,0.0,23
462,DOUBLE,0.0,22
454,DOUBLE,0.0,24
461,DOUBLE,0.0,27
464,DOUBLE,0.0,21
465,DOUBLE,0.0,21
467,DOUBLE,0.0,20
451,DOUBLE,0.0,29
463,DOUBLE,0.0,23
470,DOUBLE,0.0,21
471,DOUBLE,0.0,20
469,DOUBLE,0.0,21
466,DOUBLE,0.0,20
474,DOUBLE,0.0,29
468,DOUBLE,0.0,35
475,DOUBLE,0.0,23
477,DOUBLE,0.0,24
473,DOUBLE,0.0,35
476,DOUBLE,0.0,35
478,DOUBLE,0.0,22
472,DOUBLE,0.0,20
482,DOUBLE,0.0,26
483,DOUBLE,0.0,21
481,DOUBLE,0.0,21
485,DOUBLE,0.0,24
480,DOUBLE,0.0,21
487,DOUBLE,0.0,22
488,DOUBLE,0.0,21
484,DOUBLE,0.0,25
479,DOUBLE,0.0,20
486,DOUBLE,0.0,29
490,DOUBLE,0.0,23
492,DOUBLE,0.0,22
489,DOUBLE,0.0,23
496,DOUBLE,0.0,24
495,DOUBLE,0.0,25
494,DOUBLE,0.0,23
498,DOUBLE,0.0,23
499,DOUBLE,0.0,40
500,DOUBLE,0.0,22
491,DOUBLE,0.0,29
501,DOUBLE,0.0,22
503,DOUBLE,0.0,23
504,DOUBLE,0.0,21
493,DOUBLE,0.0,23
497,DOUBLE,0.0,22
507,DOUBLE,0.0,21
508,DOUBLE,0.0,27
509,DOUBLE,0.0,21
511,DOUBLE,0.0,22
506,DOUBLE,0.0,26
505,DOUBLE,0.0,21
513,DOUBLE,0.0,22
502,DOUBLE,0.0,21
514,DOUBLE,0.0,22
510,DOUBLE,0.0,23
516,DOUBLE,0.0,23
518,DOUBLE,0.0,35
512,DOUBLE,0.0,22
519,DOUBLE,0.0,22
520,DOUBLE,0.0,27
522,DOUBLE,0.0,23
517,DOUBLE,0.0,22
523,DOUBLE,0.0,27
521,DOUBLE,0.0,22
515,DOUBLE,0.0,33
527,DOUBLE,0.0,23
528,DOUBLE,0.0,32
524,DOUBLE,0.0,23
525,DOUBLE,0.0,22
531,DOUBLE,0.0,29
526,DOUBLE,0.0,23
529,DOUBLE,0.0,24
534,DOUBLE,0.0,28
532,DOUBLE,0.0,30
530,DOUBLE,0.0,28
537,DOUBLE,0.0,23
538,DOUBLE,0.0,24
535,DOUBLE,0.0,25
536,DOUBLE,0.0,23
539,DOUBLE,0.0,33
542,DOUBLE,0.0,29
540,DOUBLE,0.0,27
533,DOUBLE,0.0,24
543,DOUBLE,0.0,23
541,DOUBLE,0.0,24
546,DOUBLE,0.0,31
544,DOUBLE,0.0,25
547,DOUBLE,0.0,23
548,DOUBLE,0.0,23
545,DOUBLE,0.0,30
552,DOUBLE,0.0,27
553,DOUBLE,0.0,24
551,DOUBLE,0.0,41
549,DOUBLE,0.0,26
550,DOUBLE,0.0,26
557,DOUBLE,0.0,32
558,DOUBLE,0.0,24
554,DOUBLE,0.0,22
555,DOUBLE,0.0,27
556,DOUBLE,0.0,46
562,DOUBLE,0.0,24
564,DOUBLE,0.0,24
565,DOUBLE,0.0,23
566,DOUBLE,0.0,23
561,DOUBLE,0.0,24
559,DOUBLE,0.0,39
567,DOUBLE,0.0,26
563,DOUBLE,0.0,41
570,DOUBLE,0.0,25
568,DOUBLE,0.0,34
572,DOUBLE,0.0,46
569,DOUBLE,0.0,34
560,DOUBLE,0.0,36
571,DOUBLE,0.0,55
574,DOUBLE,0.0,44
578,DOUBLE,0.0,26
573,DOUBLE,0.0,32
576,DOUBLE,0.0,79
579,DOUBLE,0.0,25
577,DOUBLE,0.0,33
582,DOUBLE,0.0,31
583,DOUBLE,0.0,26
584,DOUBLE,0.0,25
575,DOUBLE,0.0,34
581,DOUBLE,0.0,32
586,DOUBLE,0.0,30
589,DOUBLE,0.0,48
580,DOUBLE,0.0,29
590,DOUBLE,0.0,40
587,DOUBLE,0.0,30
588,DOUBLE,0.0,48
592,DOUBLE,0.0,35
585,DOUBLE,0.0,46
595,DOUBLE,0.0,43
596,DOUBLE,0.0,27
593,DOUBLE,0.0,25
597,DOUBLE,0.0,41
591,DOUBLE,0.0,31
600,DOUBLE,0.0,35
601,DOUBLE,0.0,29
594,DOUBLE,0.0,28
602,DOUBLE,0.0,37
598,DOUBLE,0.0,33
599,DOUBLE,0.0,34
603,DOUBLE,0.0,27
604,DOUBLE,0.0,35
605,DOUBLE,0.0,40
610,DOUBLE,0.0,34
608,DOUBLE,0.0,31
609,DOUBLE,0.0,32
606,DOUBLE,0.0,36
607,DOUBLE,0.0,29
612,DOUBLE,0.0,57
611,DOUBLE,0.0,26
615,DOUBLE,0.0,26
613,DOUBLE,0.0,42
614,DOUBLE,0.0,51
616,DOUBLE,0.0,31
620,DOUBLE,0.0,32
618,DOUBLE,0.0,30
619,DOUBLE,0.0,40
621,DOUBLE,0.0,33
617,DOUBLE,0.0,52
624,DOUBLE,0.0,31
623,DOUBLE,0.0,32
622,DOUBLE,0.0,34
626,DOUBLE,0.0,29
627,DOUBLE,0.0,38
630,DOUBLE,0.0,37
628,DOUBLE,0.0,28
625,DOUBLE,0.0,42
629,DOUBLE,0.0,31
634,DOUBLE,0.0,27
631,DOUBLE,0.0,31
632,DOUBLE,0.0,32
633,DOUBLE,0.0,28
635,DOUBLE,0.0,42
636,DOUBLE,0.0,37
638,DOUBLE,0.0,28
642,DOUBLE,0.0,50
639,DOUBLE,0.0,32
640,DOUBLE,0.0,34
637,DOUBLE,0.0,43
641,DOUBLE,0.0,31
643,DOUBLE,0.0,28
648,DOUBLE,0.0,63
644,DOUBLE,0.0,33
646,DOUBLE,0.0,34
649,DOUBLE,0.0,58
645,DOUBLE,0.0,30
647,DOUBLE,0.0,28
652,DOUBLE,0.0,67
650,DOUBLE,0.0,42
653,DOUBLE,0.0,28
655,DOUBLE,0.0,33
651,DOUBLE,0.0,41
654,DOUBLE,0.0,47
658,DOUBLE,0.0,32
657,DOUBLE,0.0,30
656,DOUBLE,0.0,30
661,DOUBLE,0.0,38
663,DOUBLE,0.0,43
659,DOUBLE,0.0,31
664,DOUBLE,0.0,48
660,DOUBLE,0.0,39
662,DOUBLE,0.0,38
667,DOUBLE,0.0,56
666,DOUBLE,0.0,45
665,DOUBLE,0.0,31
668,DOUBLE,0.0,45
670,DOUBLE,0.0,35
669,DOUBLE,0.0,29
674,DOUBLE,0.0,39
671,DOUBLE,0.0,51
673,DOUBLE,0.0,34
676,DOUBLE,0.0,48
675,DOUBLE,0.0,44
672,DOUBLE,0.0,30
678,DOUBLE,0.0,66
679,DOUBLE,0.0,50
682,DOUBLE,0.0,40
677,DOUBLE,0.0,40
684,DOUBLE,0.0,36
681,DOUBLE,0.0,63
686,DOUBLE,0.0,51
680,DOUBLE,0.0,38
685,DOUBLE,0.0,44
688,DOUBLE,0.0,37
683,DOUBLE,0.0,44
687,DOUBLE,0.0,48
691,DOUBLE,0.0,77
692,DOUBLE,0.0,35
689,DOUBLE,0.0,37
694,DOUBLE,0.0,47
695,DOUBLE,0.0,40
690,DOUBLE,0.0,55
698,DOUBLE,0.0,39
697,DOUBLE,0.0,39
693,DOUBLE,0.0,30
701,DOUBLE,0.0,34
702,DOUBLE,0.0,46
696,DOUBLE,0.0,34
699,DOUBLE,0.0,47
703,DOUBLE,0.0,65
700,DOUBLE,0.0,39
704,DOUBLE,0.0,69
706,DOUBLE,0.0,98
707,DOUBLE,0.0,49
708,DOUBLE,0.0,35
705,DOUBLE,0.0,103
711,DOUBLE,0.0,36
709,DOUBLE,0.0,37
710,DOUBLE,0.0,42
714,DOUBLE,0.0,40
713,DOUBLE,0.0,33
712,DOUBLE,0.0,75
718,DOUBLE,0.0,36
715,DOUBLE,0.0,37
717,DOUBLE,0.0,34
720,DOUBLE,0.0,42
719,DOUBLE,0.0,29
