#N,type,distance,time
530,DOUBLE,0.0,3838
528,DOUBLE,0.0,3733
532,DOUBLE,0.0,3451
529,DOUBLE,0.0,1637
533,DOUBLE,0.0,1591
534,DOUBLE,0.0,3352
536,DOUBLE,0.0,4538
539,DOUBLE,0.0,2277
538,DOUBLE,0.0,3257
535,DOUBLE,0.0,2300
540,DOUBLE,0.0,4143
541,DOUBLE,0.0,1879
537,DOUBLE,0.0,2211
542,DOUBLE,0.0,4228
545,DOUBLE,0.0,1804
543,DOUBLE,0.0,2523
544,DOUBLE,0.0,3734
547,DOUBLE,0.0,3021
546,DOUBLE,0.0,3132
550,DOUBLE,0.0,3620
548,DOUBLE,0.0,3586
551,DOUBLE,0.0,2626
549,DOUBLE,0.0,1505
554,DOUBLE,0.0,4104
553,DOUBLE,0.0,1592
555,DOUBLE,0.0,2918
557,DOUBLE,0.0,1649
552,DOUBLE,0.0,3336
558,DOUBLE,0.0,3534
559,DOUBLE,0.0,2723
560,DOUBLE,0.0,4118
562,DOUBLE,0.0,3758
563,DOUBLE,0.0,1807
556,DOUBLE,0.0,4487
561,DOUBLE,0.0,1891
565,DOUBLE,0.0,2246
564,DOUBLE,0.0,5312
566,DOUBLE,0.0,5850
569,DOUBLE,0.0,2288
567,DOUBLE,0.0,3381
570,DOUBLE,0.0,3830
571,DOUBLE,0.0,2958
568,DOUBLE,0.0,5166
575,DOUBLE,0.0,2640
572,DOUBLE,0.0,4019
574,DOUBLE,0.0,4117
573,DOUBLE,0.0,2313
576,DOUBLE,0.0,4460
577,DOUBLE,0.0,2175
579,DOUBLE,0.0,5357
581,DOUBLE,0.0,1663
582,DOUBLE,0.0,3694
583,DOUBLE,0.0,3188
578,DOUBLE,0.0,3914
585,DOUBLE,0.0,2203
580,DOUBLE,0.0,5198
586,DOUBLE,0.0,4491
584,DOUBLE,0.0,4487
588,DOUBLE,0.0,6153
587,DOUBLE,0.0,4262
591,DOUBLE,0.0,2666
590,DOUBLE,0.0,4084
589,DOUBLE,0.0,2142
592,DOUBLE,0.0,5167
595,DOUBLE,0.0,2884
597,DOUBLE,0.0,1532
594,DOUBLE,0.0,3854
593,DOUBLE,0.0,2333
596,DOUBLE,0.0,5443
599,DOUBLE,0.0,3505
598,DOUBLE,0.0,5164
600,DOUBLE,0.0,5413
603,DOUBLE,0.0,4027
601,DOUBLE,0.0,5446
604,DOUBLE,0.0,4233
605,DOUBLE,0.0,3275
606,DOUBLE,0.0,4428
608,DOUBLE,0.0,3544
609,DOUBLE,0.0,2672
602,DOUBLE,0.0,4400
610,DOUBLE,0.0,5064
611,DOUBLE,0.0,3014
612,DOUBLE,0.0,5412
607,DOUBLE,0.0,4419
613,DOUBLE,0.0,1733
614,DOUBLE,0.0,4629
617,DOUBLE,0.0,2662
615,DOUBLE,0.0,3509
616,DOUBLE,0.0,6684
619,DOUBLE,0.0,4334
620,DOUBLE,0.0,5039
622,DOUBLE,0.0,4236
623,DOUBLE,0.0,3806
618,DOUBLE,0.0,5237
621,DOUBLE,0.0,2066
625,DOUBLE,0.0,2539
624,DOUBLE,0.0,5405
626,DOUBLE,0.0,5315
629,DOUBLE,0.0,1700
630,DOUBLE,0.0,4632
627,DOUBLE,0.0,3453
628,DOUBLE,0.0,4846
632,DOUBLE,0.0,5276
633,DOUBLE,0.0,2472
635,DOUBLE,0.0,3989
631,DOUBLE,0.0,5337
636,DOUBLE,0.0,7296
634,DOUBLE,0.0,5641
637,DOUBLE,0.0,2960
638,DOUBLE,0.0,7026
640,DOUBLE,0.0,6752
642,DOUBLE,0.0,5470
639,DOUBLE,0.0,3729
643,DOUBLE,0.0,4598
641,DOUBLE,0.0,3528
644,DOUBLE,0.0,7822
645,DOUBLE,0.0,3181
647,DOUBLE,0.0,4745
649,DOUBLE,0.0,3620
646,DOUBLE,0.0,7515
650,DOUBLE,0.0,5942
651,DOUBLE,0.0,3658
648,DOUBLE,0.0,5475
652,DOUBLE,0.0,6779
654,DOUBLE,0.0,7167
655,DOUBLE,0.0,3733
657,DOUBLE,0.0,2848
653,DOUBLE,0.0,4591
656,DOUBLE,0.0,6225
659,DOUBLE,0.0,3674
660,DOUBLE,0.0,5562
661,DOUBLE,0.0,3214
658,DOUBLE,0.0,6565
662,DOUBLE,0.0,5449
665,DOUBLE,0.0,3338
664,DOUBLE,0.0,5384
667,DOUBLE,0.0,3467
666,DOUBLE,0.0,5435
668,DOUBLE,0.0,5449
663,DOUBLE,0.0,3932
669,DOUBLE,0.0,2650
670,DOUBLE,0.0,7381
673,DOUBLE,0.0,3964
672,DOUBLE,0.0,7120
671,DOUBLE,0.0,5314
675,DOUBLE,0.0,5894
677,DOUBLE,0.0,2327
674,DOUBLE,0.0,6687
676,DOUBLE,0.0,6924
679,DOUBLE,0.0,6453
680,DOUBLE,0.0,8580
682,DOUBLE,0.0,7259
683,DOUBLE,0.0,4583
678,DOUBLE,0.0,5678
681,DOUBLE,0.0,7290
684,DOUBLE,0.0,8374
686,DOUBLE,0.0,5939
689,DOUBLE,0.0,4173
