#N,type,distance,time
562,FLOAT,0.0,30
564,FLOAT,0.0,31
565,FLOAT,0.0,24
566,FLOAT,0.0,26
561,FLOAT,0.0,32
559,FLOAT,0.0,39
567,FLOAT,0.0,36
563,FLOAT,0.0,45
570,FLOAT,0.0,33
568,FLOAT,0.0,37
572,FLOAT,0.0,66
569,FLOAT,0.0,43
560,FLOAT,0.0,41
571,FLOAT,0.0,50
574,FLOAT,0.0,61
578,FLOAT,0.0,32
573,FLOAT,0.0,40
576,FLOAT,0.0,78
579,FLOAT,0.0,35
577,FLOAT,0.0,51
582,FLOAT,0.0,40
583,FLOAT,0.0,34
584,FLOAT,0.0,33
575,FLOAT,0.0,44
581,FLOAT,0.0,38
586,FLOAT,0.0,40
589,FLOAT,0.0,67
580,FLOAT,0.0,47
590,FLOAT,0.0,50
587,FLOAT,0.0,43
588,FLOAT,0.0,63
592,FLOAT,0.0,47
585,FLOAT,0.0,48
595,FLOAT,0.0,48
596,FLOAT,0.0,37
593,FLOAT,0.0,36
597,FLOAT,0.0,45
591,FLOAT,0.0,36
600,FLOAT,0.0,57
601,FLOAT,0.0,40
594,FLOAT,0.0,36
602,FLOAT,0.0,55
598,FLOAT,0.0,42
599,FLOAT,0.0,38
603,FLOAT,0.0,34
604,FLOAT,0.0,44
605,FLOAT,0.0,48
610,FLOAT,0.0,45
608,FLOAT,0.0,43
609,FLOAT,0.0,35
606,FLOAT,0.0,44
607,FLOAT,0.0,35
612,FLOAT,0.0,52
611,FLOAT,0.0,40
615,FLOAT,0.0,33
613,FLOAT,0.0,48
614,FLOAT,0.0,60
616,FLOAT,0.0,40
620,FLOAT,0.0,38
618,FLOAT,0.0,38
619,FLOAT,0.0,41
621,FLOAT,0.0,48
617,FLOAT,0.0,86
624,FLOAT,0.0,43
623,FLOAT,0.0,38
622,FLOAT,0.0,44
626,FLOAT,0.0,38
627,FLOAT,0.0,47
630,FLOAT,0.0,45
628,FLOAT,0.0,34
625,FLOAT,0.0,52
629,FLOAT,0.0,35
634,FLOAT,0.0,31
